FID,FID_Buildi,osm_id,name,type,startX,startY,endX,endY
2404,15,298133506.000000000000000, ,school,-0.340863700000000,39.469605999999999,-0.340709500000000,39.469558200000002
2405,15,298133506.000000000000000, ,school,-0.340709500000000,39.469558200000002,-0.340636100000000,39.469708300000001
2406,15,298133506.000000000000000, ,school,-0.340636100000000,39.469708300000001,-0.340560900000000,39.469686400000001
2407,15,298133506.000000000000000, ,school,-0.340560900000000,39.469686400000001,-0.340660100000000,39.469483099999998
2408,15,298133506.000000000000000, ,school,-0.340660100000000,39.469483099999998,-0.340678200000000,39.469488400000003
2409,15,298133506.000000000000000, ,school,-0.340678200000000,39.469488400000003,-0.340700800000000,39.469442100000002
2410,15,298133506.000000000000000, ,school,-0.340700800000000,39.469442100000002,-0.340739700000000,39.469453399999999
2411,1,23413845.000000000000000, ,school,-0.340943100000000,39.469574700000003,-0.340970100000000,39.469521499999999
2412,1,23413845.000000000000000, ,school,-0.340970100000000,39.469521499999999,-0.341168900000000,39.469581200000000
2413,1,23413845.000000000000000, ,school,-0.341168900000000,39.469581200000000,-0.341079100000000,39.469757299999998
2414,1,23413845.000000000000000, ,school,-0.341079100000000,39.469757299999998,-0.341292100000000,39.469821600000003
2415,1,23413845.000000000000000, ,school,-0.341292100000000,39.469821600000003,-0.341379400000000,39.469642800000003
2416,1,23413845.000000000000000, ,school,-0.341379400000000,39.469642800000003,-0.341491500000000,39.469675600000002
2417,1,23413845.000000000000000, ,school,-0.341491500000000,39.469675600000002,-0.341449200000000,39.469753599999997
2418,203,1240815112.000000000000000, ,roof,-0.340943100000000,39.469574700000003,-0.340970100000000,39.469521499999999
2419,203,1240815112.000000000000000, ,roof,-0.340970100000000,39.469521499999999,-0.341168900000000,39.469581200000000
2420,203,1240815112.000000000000000, ,roof,-0.341168900000000,39.469581200000000,-0.341079100000000,39.469757299999998
2421,203,1240815112.000000000000000, ,roof,-0.341079100000000,39.469757299999998,-0.341292100000000,39.469821600000003
2422,203,1240815112.000000000000000, ,roof,-0.341292100000000,39.469821600000003,-0.341379400000000,39.469642800000003
2423,203,1240815112.000000000000000, ,roof,-0.341379400000000,39.469642800000003,-0.341491500000000,39.469675600000002
2424,203,1240815112.000000000000000, ,roof,-0.341491500000000,39.469675600000002,-0.341449200000000,39.469753599999997
2425,1,23413845.000000000000000, ,school,-0.339775600000000,39.469789499999997,-0.339884600000000,39.469821600000003
2426,204,1240815115.000000000000000, , ,-0.339775600000000,39.469789499999997,-0.339884600000000,39.469821600000003
2427,205,1240815122.000000000000000, , ,-0.339775600000000,39.469789499999997,-0.339884600000000,39.469821600000003
2428,206,1240815123.000000000000000, , ,-0.339775600000000,39.469789499999997,-0.339884600000000,39.469821600000003
2429,1,23413845.000000000000000, ,school,-0.340825800000000,39.469822399999998,-0.340912800000000,39.469638000000003
2430,203,1240815112.000000000000000, ,roof,-0.340825800000000,39.469822399999998,-0.340912800000000,39.469638000000003
2431,1,23413845.000000000000000, ,school,-0.341449200000000,39.469753599999997,-0.341419700000000,39.469811700000001
2432,1,23413845.000000000000000, ,school,-0.341419700000000,39.469811700000001,-0.341486800000000,39.469831999999997
2433,203,1240815112.000000000000000, ,roof,-0.341449200000000,39.469753599999997,-0.341524600000000,39.469776400000001
2434,203,1240815112.000000000000000, ,roof,-0.341524600000000,39.469776400000001,-0.341495200000000,39.469834499999997
2435,203,1240815112.000000000000000, ,roof,-0.341495200000000,39.469834499999997,-0.341486800000000,39.469831999999997
2436,1,23413845.000000000000000, ,school,-0.339549600000000,39.469840400000002,-0.339600000000000,39.469738100000001
